# A2,A3,p2,p3,max
0.75000,1.50000,0.80000,0.80000,3.13626
0.75000,1.75000,0.00000,0.00000,2.96874
0.75000,1.75000,0.00000,0.20000,3.07071
0.75000,1.75000,0.00000,0.40000,3.27271
0.75000,1.75000,0.00000,0.60000,3.27271
0.75000,1.75000,0.00000,0.80000,3.07071
0.75000,1.75000,0.20000,0.00000,3.00898
0.75000,1.75000,0.20000,0.20000,3.38526
0.75000,1.75000,0.20000,0.40000,3.01052
0.75000,1.75000,0.20000,0.60000,3.30077
0.75000,1.75000,0.20000,0.80000,2.96455
0.75000,1.75000,0.40000,0.00000,2.80787
0.75000,1.75000,0.40000,0.20000,3.47741
0.75000,1.75000,0.40000,0.40000,2.68993
0.75000,1.75000,0.40000,0.60000,3.08812
0.75000,1.75000,0.40000,0.80000,3.32415
0.75000,1.75000,0.60000,0.00000,2.80787
0.75000,1.75000,0.60000,0.20000,3.32415
0.75000,1.75000,0.60000,0.40000,3.08812
0.75000,1.75000,0.60000,0.60000,2.68993
0.75000,1.75000,0.60000,0.80000,3.47741
0.75000,1.75000,0.80000,0.00000,3.00898
0.75000,1.75000,0.80000,0.20000,2.96455
0.75000,1.75000,0.80000,0.40000,3.30077
0.75000,1.75000,0.80000,0.60000,3.01052
0.75000,1.75000,0.80000,0.80000,3.38526
1.00000,0.50000,0.00000,0.00000,2.06846
1.00000,0.50000,0.00000,0.20000,2.06136
1.00000,0.50000,0.00000,0.40000,2.26012
1.00000,0.50000,0.00000,0.60000,2.26012
1.00000,0.50000,0.00000,0.80000,2.06136
1.00000,0.50000,0.20000,0.00000,2.01863
1.00000,0.50000,0.20000,0.20000,2.37896
1.00000,0.50000,0.20000,0.40000,1.96446
1.00000,0.50000,0.20000,0.60000,2.33939
1.00000,0.50000,0.20000,0.80000,2.03159
1.00000,0.50000,0.40000,0.00000,1.75700
1.00000,0.50000,0.40000,0.20000,2.48186
1.00000,0.50000,0.40000,0.40000,1.87715
1.00000,0.50000,0.40000,0.60000,2.20148
1.00000,0.50000,0.40000,0.80000,2.35966
1.00000,0.50000,0.60000,0.00000,1.75700
1.00000,0.50000,0.60000,0.20000,2.35966
1.00000,0.50000,0.60000,0.40000,2.20148
1.00000,0.50000,0.60000,0.60000,1.87715
1.00000,0.50000,0.60000,0.80000,2.48186
1.00000,0.50000,0.80000,0.00000,2.01863
1.00000,0.50000,0.80000,0.20000,2.03159
1.00000,0.50000,0.80000,0.40000,2.33939
1.00000,0.50000,0.80000,0.60000,1.96446
1.00000,0.50000,0.80000,0.80000,2.37896
1.00000,0.75000,0.00000,0.00000,2.27712
1.00000,0.75000,0.00000,0.20000,2.27156
1.00000,0.75000,0.00000,0.40000,2.51011
1.00000,0.75000,0.00000,0.60000,2.51011
